subject,description,full_text,category_final,priority
Geospatial Data Layer Rendering Issue,"User experiencing persistent issues with enterprise cloud-based data visualization platform where specific geospatial data layers intermittently fail to render, requiring detailed investigation and manual adjustment of geospatial data configurations and potential inspection of map rendering settings.","Geospatial Data Layer Rendering Issue. User experiencing persistent issues with enterprise cloud-based data visualization platform where specific geospatial data layers intermittently fail to render, requiring detailed investigation and manual adjustment of geospatial data configurations and potential inspection of map rendering settings.",Software,High
Email Configuration Assistance,"Hello IT! I'm having trouble setting up my email on my mobile device. Despite entering the correct credentials and settings, I keep encountering authentication errors. Could you please assist me with this? Thank you!","Email Configuration Assistance. Hello IT! I'm having trouble setting up my email on my mobile device. Despite entering the correct credentials and settings, I keep encountering authentication errors. Could you please assist me with this? Thank you!",Communication,Medium
UI Rendering Issues in Cloud App,I'm experiencing persistent issues with our enterprise cloud-based application where specific user interface elements intermittently fail to render correctly. This requires a detailed investigation and possibly manual adjustment of the front-end code. Could you also check the browser compatibility settings?,UI Rendering Issues in Cloud App. I'm experiencing persistent issues with our enterprise cloud-based application where specific user interface elements intermittently fail to render correctly. This requires a detailed investigation and possibly manual adjustment of the front-end code. Could you also check the browser compatibility settings?,Software,High
Access Request for Asana Task Board,Requesting access to the Asana Task Board for project collaboration.,Access Request for Asana Task Board. Requesting access to the Asana Task Board for project collaboration.,Software,Medium
GH Repos Access Request,"Hey IT Team, Can I get access to the GitHub repositories for the new project? Thanks!","GH Repos Access Request. Hey IT Team, Can I get access to the GitHub repositories for the new project? Thanks!",Account,Medium
Persistent Authentication Issues with Remote Access Solution,"User experiencing persistent issues with enterprise remote access solution where specific users intermittently fail to authenticate, requiring detailed investigation and manual adjustment of user access policies and potential inspection of authentication server logs.","Persistent Authentication Issues with Remote Access Solution. User experiencing persistent issues with enterprise remote access solution where specific users intermittently fail to authenticate, requiring detailed investigation and manual adjustment of user access policies and potential inspection of authentication server logs.",RemoteWork,High
Accessing Shared Network Drive,"Hi IT Team, I've just received my new company-issued desktop computer and need assistance with accessing the shared network drive. Could you please provide me with the necessary instructions or steps to get connected? Thanks!","Accessing Shared Network Drive. Hi IT Team, I've just received my new company-issued desktop computer and need assistance with accessing the shared network drive. Could you please provide me with the necessary instructions or steps to get connected? Thanks!",Network,Medium
Access Denied Errors on Shared Network Drive,"Hey team! I'm running into some issues with access denied errors when trying to open files on our shared network drive. I've double-checked my permissions, and everything seems to be in order. Not urgent, but would appreciate some help when you get a chance. Thanks!","Access Denied Errors on Shared Network Drive. Hey team! I'm running into some issues with access denied errors when trying to open files on our shared network drive. I've double-checked my permissions, and everything seems to be in order. Not urgent, but would appreciate some help when you get a chance. Thanks!",Network,Low
Issues with Data Visualization Tool,"Hey IT! I'm experiencing persistent issues with our enterprise cloud-based data visualization tool. The dashboards intermittently fail to load data correctly, and it's requiring me to manually adjust data source configurations. I think there might be something off with the API integration settings as well. Could you look into this for me? Please let me know if you need any more details from my end. Thanks! -Alex","Issues with Data Visualization Tool. Hey IT! I'm experiencing persistent issues with our enterprise cloud-based data visualization tool. The dashboards intermittently fail to load data correctly, and it's requiring me to manually adjust data source configurations. I think there might be something off with the API integration settings as well. Could you look into this for me? Please let me know if you need any more details from my end. Thanks! -Alex",Software,High
Access Request for ZDesk Agent Dashboard,I need access to the ZDesk Agent Dashboard for my role. Please grant the necessary permissions.,Access Request for ZDesk Agent Dashboard. I need access to the ZDesk Agent Dashboard for my role. Please grant the necessary permissions.,Software,Medium
"Hello IT, can you please grant me access to Adobe Animate Tools?","Hello IT, can you please grant me access to Adobe Animate Tools?","Hello IT, can you please grant me access to Adobe Animate Tools?. Hello IT, can you please grant me access to Adobe Animate Tools?",Software,Medium
Access Request for T-List Project Management Tool,"Hi IT Team, Can you please provide access to the T-List Project Management Tool for our new team members? They will need full access to manage tasks and collaborate on the upcoming projects. Let me know if you have any questions. Thank you! -- Alex Johnson | Project Coordinator Acme Co.","Access Request for T-List Project Management Tool. Hi IT Team, Can you please provide access to the T-List Project Management Tool for our new team members? They will need full access to manage tasks and collaborate on the upcoming projects. Let me know if you have any questions. Thank you! -- Alex Johnson | Project Coordinator Acme Co.",Software,Medium
Remote Desktop Setup on New Tablet,Hello IT! Can you please provide instructions on setting up remote desktop access on my new company-issued tablet? I need to ensure I can access all necessary resources remotely. **Email**: user@acme.co,Remote Desktop Setup on New Tablet. Hello IT! Can you please provide instructions on setting up remote desktop access on my new company-issued tablet? I need to ensure I can access all necessary resources remotely. **Email**: user@acme.co,RemoteWork,Medium
Email Notifications for Calendar Events,"Hi IT Team, I need help setting up email notifications for calendar events on my mobile device. Can you provide step-by-step instructions? Thanks!","Email Notifications for Calendar Events. Hi IT Team, I need help setting up email notifications for calendar events on my mobile device. Can you provide step-by-step instructions? Thanks!",Software,Medium
Firewall Rule Adjustment Needed,I am experiencing persistent issues with our enterprise firewall where specific outbound traffic is intermittently blocked. This requires a detailed investigation and manual adjustment of the firewall rules. Could you also inspect the network traffic logs to identify any anomalies?,Firewall Rule Adjustment Needed. I am experiencing persistent issues with our enterprise firewall where specific outbound traffic is intermittently blocked. This requires a detailed investigation and manual adjustment of the firewall rules. Could you also inspect the network traffic logs to identify any anomalies?,Network,High
Requesting Access to Collaboration Tools,"Hello, I'm a new hire requesting instructions on setting up access to the company's cloud-based collaboration tools - thanks.","Requesting Access to Collaboration Tools. Hello, I'm a new hire requesting instructions on setting up access to the company's cloud-based collaboration tools - thanks.",Software,Medium
VDI Application Launch Issues - Investigation Required,"Hey IT Team, I hope you're doing well! I'm experiencing persistent issues with our enterprise cloud-based VDI. Specific applications intermittently fail to launch, and it's becoming quite disruptive. Could you please look into this? It might require a detailed investigation and manual adjustment of the application delivery settings. Additionally, a potential inspection of server-side resource allocation might be necessary. Let me know if you need any more information from my side. Thank you for your assistance. Best regards, Alex Johnson","VDI Application Launch Issues - Investigation Required. Hey IT Team, I hope you're doing well! I'm experiencing persistent issues with our enterprise cloud-based VDI. Specific applications intermittently fail to launch, and it's becoming quite disruptive. Could you please look into this? It might require a detailed investigation and manual adjustment of the application delivery settings. Additionally, a potential inspection of server-side resource allocation might be necessary. Let me know if you need any more information from my side. Thank you for your assistance. Best regards, Alex Johnson",Other,High
Persistent Issues with Email Filtering System,"User experiencing persistent issues with automated email filtering system where legitimate emails are incorrectly marked as spam, requiring detailed investigation and manual adjustment of filtering rules and potential whitelist updates.","Persistent Issues with Email Filtering System. User experiencing persistent issues with automated email filtering system where legitimate emails are incorrectly marked as spam, requiring detailed investigation and manual adjustment of filtering rules and potential whitelist updates.",Software,High
Troubleshoot Intranet Access,"Hey, IT team. I'm having trouble accessing certain pages on our intranet. My network configuration and browser settings seem correct, but the pages just won't load. Any idea who I should reach out to for help? https://intranet.acme.co/help","Troubleshoot Intranet Access. Hey, IT team. I'm having trouble accessing certain pages on our intranet. My network configuration and browser settings seem correct, but the pages just won't load. Any idea who I should reach out to for help? https://intranet.acme.co/help",Network,Medium
Slack Channel Access,"Hi there! Could someone assist me with getting access to the Team Comms channels on Slack? Much appreciated! Alex -- Alex Smith | Team Lead, Marketing Acme Co (http://www.acme.co/) ● New York, NY ● They/Them","Slack Channel Access. Hi there! Could someone assist me with getting access to the Team Comms channels on Slack? Much appreciated! Alex -- Alex Smith | Team Lead, Marketing Acme Co (http://www.acme.co/) ● New York, NY ● They/Them",Communication,Medium
Re: [AUTOMATED EMAIL - DO NOT REPLY] Phishing Email Manual Review Required,"Hi Team, A phishing email has slipped through our automated filters and was flagged as safe, but it contains suspicious links. Could someone manually review and escalate this? Thanks, Alex On Mon, Oct 16, 2023 at 10:15 AM Chris Johnson <chris.johnson@acme.co> wrote: Important: Please DO NOT reply to this message; this inbox is not monitored. Hello Acme Co, Please review the attached email and investigate the suspicious links. If you have any questions or issues, please reply directly to the current email chain with your IT Security Coordinator, Jamie Lee. Best Regards, -- Chris Johnson IT Support Specialist chris.johnson@acme.co New York, NY 10001 www.acme.co CONFIDENTIAL: the information contained in this e-mail or any attachment hereto is subject to confidentiality protections and is private information intended for the use of the individual or entity named above only. If the reader of this message is not the intended recipient, you are hereby notified that any dissemination, distribution or copy of this communication is prohibited. If you have received this communication in error, please notify us immediately by telephone at 212-555-0199 or reply by e-mail and delete or discard the message. -- Alex Turner | IT Analyst acme.co I alex.turner@acme.co 212.555.0187 Check out our latest updates! (https://acme.co/blog/category/updates)","Re: [AUTOMATED EMAIL - DO NOT REPLY] Phishing Email Manual Review Required. Hi Team, A phishing email has slipped through our automated filters and was flagged as safe, but it contains suspicious links. Could someone manually review and escalate this? Thanks, Alex On Mon, Oct 16, 2023 at 10:15 AM Chris Johnson <chris.johnson@acme.co> wrote: Important: Please DO NOT reply to this message; this inbox is not monitored. Hello Acme Co, Please review the attached email and investigate the suspicious links. If you have any questions or issues, please reply directly to the current email chain with your IT Security Coordinator, Jamie Lee. Best Regards, -- Chris Johnson IT Support Specialist chris.johnson@acme.co New York, NY 10001 www.acme.co CONFIDENTIAL: the information contained in this e-mail or any attachment hereto is subject to confidentiality protections and is private information intended for the use of the individual or entity named above only. If the reader of this message is not the intended recipient, you are hereby notified that any dissemination, distribution or copy of this communication is prohibited. If you have received this communication in error, please notify us immediately by telephone at 212-555-0199 or reply by e-mail and delete or discard the message. -- Alex Turner | IT Analyst acme.co I alex.turner@acme.co 212.555.0187 Check out our latest updates! (https://acme.co/blog/category/updates)",Security,High
Intranet: Event Submission Instructions Needed,"Monday, March 4, 2024 Request for instructions on submitting a new event or announcement on the company intranet Hello IT Team, I am looking to submit a new event and announcement on our company intranet but couldn't find the instructions on how to do so. Could you please guide me through the process or direct me to the relevant resources? I want to ensure that the event details are visible to all employees in a timely manner. If there are any specific guidelines or templates to follow, kindly let me know. Thank you for your assistance! Best regards, Alex Johnson","Intranet: Event Submission Instructions Needed. Monday, March 4, 2024 Request for instructions on submitting a new event or announcement on the company intranet Hello IT Team, I am looking to submit a new event and announcement on our company intranet but couldn't find the instructions on how to do so. Could you please guide me through the process or direct me to the relevant resources? I want to ensure that the event details are visible to all employees in a timely manner. If there are any specific guidelines or templates to follow, kindly let me know. Thank you for your assistance! Best regards, Alex Johnson",Communication,Medium
Cloud Financial Tool Export Issues,"Hi IT,

I'm having trouble with our cloud-based financial reporting tool. The data exports are failing intermittently, and it's becoming a hassle. Could you look into the export configurations and maybe check the data source connectivity and report generation workflows?

--

Jordan Lee | Financial Analyst

Acme Co. • New York, NY","Cloud Financial Tool Export Issues. Hi IT,

I'm having trouble with our cloud-based financial reporting tool. The data exports are failing intermittently, and it's becoming a hassle. Could you look into the export configurations and maybe check the data source connectivity and report generation workflows?

--

Jordan Lee | Financial Analyst

Acme Co. • New York, NY",Software,High
Enterprise CDN: Intermittent Asset Loading Issues,"Issue: Persistent issues with enterprise CDN where specific assets intermittently fail to load.\n\nAction Required: Detailed investigation and manual adjustment of CDN configuration settings. Potential inspection of origin server connectivity.\n\nApproval Required?\nYes\n\nApprovers:\nmanager.jones@acme.co MANAGER\ntech.lead@acme.co\n\nApproved By:\nmanager.jones@acme.co\n\nApproved At:\n2024-09-15T11:45:00-07:00\n\nApproved By:\ntech.lead@acme.co\n\nApproved At:\n2024-09-16T14:30:00-07:00\n\nApproval Note:\nProceed with CDN configuration adjustments.\n\nRequester:\nAlex Johnson\nNetwork Operations Specialist\nManager: manager.jones@acme.co\n\nRequest Date:\nSep 16, 2024\n\nRequest Note:\nNeed to ensure seamless asset delivery for end-users.","Enterprise CDN: Intermittent Asset Loading Issues. Issue: Persistent issues with enterprise CDN where specific assets intermittently fail to load.\n\nAction Required: Detailed investigation and manual adjustment of CDN configuration settings. Potential inspection of origin server connectivity.\n\nApproval Required?\nYes\n\nApprovers:\nmanager.jones@acme.co MANAGER\ntech.lead@acme.co\n\nApproved By:\nmanager.jones@acme.co\n\nApproved At:\n2024-09-15T11:45:00-07:00\n\nApproved By:\ntech.lead@acme.co\n\nApproved At:\n2024-09-16T14:30:00-07:00\n\nApproval Note:\nProceed with CDN configuration adjustments.\n\nRequester:\nAlex Johnson\nNetwork Operations Specialist\nManager: manager.jones@acme.co\n\nRequest Date:\nSep 16, 2024\n\nRequest Note:\nNeed to ensure seamless asset delivery for end-users.",Network,High
Workstation Security Configuration: Inconsistent Application of Group Policies,"Hello IT Team, I've noticed that the group policies on my workstation are not being applied consistently. Some security settings seem to revert to default after a restart, and certain applications are not being restricted as expected. This inconsistency is causing potential security vulnerabilities. Could you please investigate and ensure that the correct group policies are enforced across all workstations? Thank you!","Workstation Security Configuration: Inconsistent Application of Group Policies. Hello IT Team, I've noticed that the group policies on my workstation are not being applied consistently. Some security settings seem to revert to default after a restart, and certain applications are not being restricted as expected. This inconsistency is causing potential security vulnerabilities. Could you please investigate and ensure that the correct group policies are enforced across all workstations? Thank you!",Security,High
Intermittent ML Model Prediction Failures,"Hello, I'm Alex Turner from the data analytics team. We've been experiencing persistent issues with our enterprise cloud-based data analytics platform. Specifically, certain machine learning model predictions intermittently fail to update. This requires us to manually adjust the model deployment settings and potentially inspect the data pipeline configurations. Could you please investigate this issue? Thanks in advance.","Intermittent ML Model Prediction Failures. Hello, I'm Alex Turner from the data analytics team. We've been experiencing persistent issues with our enterprise cloud-based data analytics platform. Specifically, certain machine learning model predictions intermittently fail to update. This requires us to manually adjust the model deployment settings and potentially inspect the data pipeline configurations. Could you please investigate this issue? Thanks in advance.",Software,High
Access Request for T-Card Project Management Tool,"Hi there! We have a team member, Alex Johnson, who needs access to the T-Card Project Management Tool for an upcoming project. Alex will be collaborating with the team remotely and requires access by next Monday. Could you please set up the necessary permissions and send the login details to his email? If you need any additional information, feel free to reach out. Thanks in advance and hope you're having a great day! -- Jamie Lee | Project Coordinator, Operations Text me! | 415-555-0199 Acme Co | San Francisco, CA","Access Request for T-Card Project Management Tool. Hi there! We have a team member, Alex Johnson, who needs access to the T-Card Project Management Tool for an upcoming project. Alex will be collaborating with the team remotely and requires access by next Monday. Could you please set up the necessary permissions and send the login details to his email? If you need any additional information, feel free to reach out. Thanks in advance and hope you're having a great day! -- Jamie Lee | Project Coordinator, Operations Text me! | 415-555-0199 Acme Co | San Francisco, CA",Software,High
Video Conferencing Desynchronization Issue,We have recently encountered persistent issues with our enterprise video conferencing system. Please investigate the following areas for potential resolution: - Audio and video streams intermittently desynchronize - Manual adjustment of codec settings may be required - Inspection of network bandwidth and latency is recommended,Video Conferencing Desynchronization Issue. We have recently encountered persistent issues with our enterprise video conferencing system. Please investigate the following areas for potential resolution: - Audio and video streams intermittently desynchronize - Manual adjustment of codec settings may be required - Inspection of network bandwidth and latency is recommended,Network,High
Access Request for GMeet & GChat Features,"Hi team, We are looking to enable GMeet and GChat features for our team members who are currently unable to access these tools. Could you please assist in granting the necessary permissions or guide us on how to proceed? Your help in resolving this matter would be greatly appreciated. Thanks, Alex Johnson | IT Coordinator Acme Co (https://acme.co/) • New York","Access Request for GMeet & GChat Features. Hi team, We are looking to enable GMeet and GChat features for our team members who are currently unable to access these tools. Could you please assist in granting the necessary permissions or guide us on how to proceed? Your help in resolving this matter would be greatly appreciated. Thanks, Alex Johnson | IT Coordinator Acme Co (https://acme.co/) • New York",Software,Medium
Re: [Acme IT] Re: Ticket #44567 - Remote Desktop Software Update Instructions Needed,"This is a follow-up to your previous request #44567 ""Remote Desktop Software Update Instructions Needed""

I attempted to follow the steps provided in the initial guide, but I'm still unable to update the remote desktop software to the latest version. Could you please provide further instructions or suggest any additional steps I might try?","Re: [Acme IT] Re: Ticket #44567 - Remote Desktop Software Update Instructions Needed. This is a follow-up to your previous request #44567 ""Remote Desktop Software Update Instructions Needed""

I attempted to follow the steps provided in the initial guide, but I'm still unable to update the remote desktop software to the latest version. Could you please provide further instructions or suggest any additional steps I might try?",Software,Medium
Printer Connectivity Issues,"Hi team! I'm having trouble connecting to the office printer. It seems like the connection drops intermittently, and I'm not sure how to resolve it. Could you provide some instructions or tips on how to fix this? Thanks a lot! Jamie Lee (they/them) Acme Co - Office Coordinator","Printer Connectivity Issues. Hi team! I'm having trouble connecting to the office printer. It seems like the connection drops intermittently, and I'm not sure how to resolve it. Could you provide some instructions or tips on how to fix this? Thanks a lot! Jamie Lee (they/them) Acme Co - Office Coordinator",Hardware,Medium
Troubleshooting Google Calendar Notifications on Mobile,Notification issues on mobile devices.,Troubleshooting Google Calendar Notifications on Mobile. Notification issues on mobile devices.,Software,Medium
Software Access: Asana Project for Jordan Smith,Jordan Smith is part of the Project Management team and requires access to the Asana project to coordinate tasks and timelines effectively.,Software Access: Asana Project for Jordan Smith. Jordan Smith is part of the Project Management team and requires access to the Asana project to coordinate tasks and timelines effectively.,Software,Medium
Access Request for Premiere Pro Video Editing Tools,"I'm trying to access Premiere Pro for video editing, but it seems like I don't have the necessary permissions to use the software. When I attempt to open it, a message pops up saying I need admin rights. I've checked with my team, and they confirmed that I should have access. Is there a specific setting or security control that's blocking my access? I also tried reinstalling the software, but the issue persists.","Access Request for Premiere Pro Video Editing Tools. I'm trying to access Premiere Pro for video editing, but it seems like I don't have the necessary permissions to use the software. When I attempt to open it, a message pops up saying I need admin rights. I've checked with my team, and they confirmed that I should have access. Is there a specific setting or security control that's blocking my access? I also tried reinstalling the software, but the issue persists.",Software,Medium
Access Request for T-Board Collaboration Platform,"Access request details.

Request details:
	Requester email: john.doe@acme.co
	Requester name: John Doe
	Requester department: Marketing
	Platform requested: T-Board Collaboration
	Access level requested: Standard
	Request submitted at: 2024-07-15T11:15:00-07:00
	Request note: Required for project coordination and team collaboration

Request review details:
	Reviewed by: jane.smith@acme.co
	Reviewed at: 2024-07-15T12:30:00-07:00
	Review status: APPROVED

Fulfillment details:
	Fulfillment channel: internal portal
	Executed at: 2024-07-15T12:45:00-07:00","Access Request for T-Board Collaboration Platform. Access request details.

Request details:
	Requester email: john.doe@acme.co
	Requester name: John Doe
	Requester department: Marketing
	Platform requested: T-Board Collaboration
	Access level requested: Standard
	Request submitted at: 2024-07-15T11:15:00-07:00
	Request note: Required for project coordination and team collaboration

Request review details:
	Reviewed by: jane.smith@acme.co
	Reviewed at: 2024-07-15T12:30:00-07:00
	Review status: APPROVED

Fulfillment details:
	Fulfillment channel: internal portal
	Executed at: 2024-07-15T12:45:00-07:00",Account,Medium
API Gateway Routing Issues,"Hello, I am experiencing persistent issues with our enterprise cloud-based API gateway. Specific API requests intermittently fail to route correctly, requiring detailed investigation and manual adjustment of routing configurations. Additionally, there may be a need to inspect backend service connectivity. Please assist at your earliest convenience. Thank you!","API Gateway Routing Issues. Hello, I am experiencing persistent issues with our enterprise cloud-based API gateway. Specific API requests intermittently fail to route correctly, requiring detailed investigation and manual adjustment of routing configurations. Additionally, there may be a need to inspect backend service connectivity. Please assist at your earliest convenience. Thank you!",Software,High
"Hi IT, Can I please get assistance with configuring Multi-Factor Authentication?","Hi IT, I'm having trouble setting up Multi-Factor Authentication. It seems there's a conflict between the corporate and third-party application methods. Could you help me resolve this manually?","Hi IT, Can I please get assistance with configuring Multi-Factor Authentication?. Hi IT, I'm having trouble setting up Multi-Factor Authentication. It seems there's a conflict between the corporate and third-party application methods. Could you help me resolve this manually?",Security,Medium
Request VPN Setup Instructions for New Smartphone,Please provide instructions for connecting to the company VPN on my new smartphone. I need to ensure secure access to our internal resources while working remotely. Thank you!,Request VPN Setup Instructions for New Smartphone. Please provide instructions for connecting to the company VPN on my new smartphone. I need to ensure secure access to our internal resources while working remotely. Thank you!,RemoteWork,Medium
Access Request for Adobe Stock Library,"Hi,

I'm working on a new project and need access to the Adobe Stock Library to find suitable images and assets. However, it seems my current permissions don't allow me to access the library.

Could you please assist me in getting the necessary access?

Thanks,
Alex Johnson","Access Request for Adobe Stock Library. Hi,

I'm working on a new project and need access to the Adobe Stock Library to find suitable images and assets. However, it seems my current permissions don't allow me to access the library.

Could you please assist me in getting the necessary access?

Thanks,
Alex Johnson",Software,Medium
Remote Desktop File Transfer Issue,"I'm having trouble transferring files between my local and remote workstations even though all configuration settings seem correct. When I attempt to drag and drop files, nothing happens, and there's no error message to indicate what's wrong. Could you help me troubleshoot this issue?","Remote Desktop File Transfer Issue. I'm having trouble transferring files between my local and remote workstations even though all configuration settings seem correct. When I attempt to drag and drop files, nothing happens, and there's no error message to indicate what's wrong. Could you help me troubleshoot this issue?",RemoteWork,Medium
"Hey there, can you make sure that everyone on the Sales Team has access to the SF CRM Portal?","Hey there, can you make sure that everyone on the Sales Team (John Doe, Jane Smith, Bob Johnson, Alice Brown, and Charlie Davis) has access to the SF CRM Portal? Thanks!","Hey there, can you make sure that everyone on the Sales Team has access to the SF CRM Portal?. Hey there, can you make sure that everyone on the Sales Team (John Doe, Jane Smith, Bob Johnson, Alice Brown, and Charlie Davis) has access to the SF CRM Portal? Thanks!",Account,Medium
Instructions for Submitting a Project Proposal,"Hey team! I was told that we can submit new project proposals through the company intranet, but I'm not quite sure how to go about it. Could you provide me with the instructions or point me in the right direction? I want to make sure I follow the correct process. Appreciate the help! Thanks a bunch, Jamie Lee | Product Development Acme Co. • Remote • they/them","Instructions for Submitting a Project Proposal. Hey team! I was told that we can submit new project proposals through the company intranet, but I'm not quite sure how to go about it. Could you provide me with the instructions or point me in the right direction? I want to make sure I follow the correct process. Appreciate the help! Thanks a bunch, Jamie Lee | Product Development Acme Co. • Remote • they/them",Other,Medium
